,Tool,Delta auROC value
0,Dimont,-0.03500000000000003
1,ChIPMunk,-0.03700000000000003
2,ProBound,-0.07099999999999995
3,MEME,-0.05600000000000005
4,Autoseed,-0.05400000000000005
5,Homer,-0.05800000000000005
6,STREME,-0.05700000000000005
7,DimontHTS,-0.038000000000000034
8,ExplaiNN,-0.06899999999999995
9,RCade,-0.23299999999999998
10,Best,-0.03500000000000003
11,Dimont,-0.17500000000000004
12,ChIPMunk,-0.16100000000000003
13,ProBound,-0.16000000000000003
14,MEME,-0.15900000000000003
15,Autoseed,-0.16500000000000004
16,Homer,-0.19199999999999995
17,STREME,-0.18200000000000005
18,DimontHTS,-0.239
19,ExplaiNN,-0.17400000000000004
20,RCade,-0.281
21,Best,-0.17500000000000004
22,Dimont,-0.02400000000000002
23,ChIPMunk,-0.03300000000000003
24,ProBound,-0.17200000000000004
25,MEME,-0.03200000000000003
26,Autoseed,-0.03200000000000003
27,Homer,-0.03400000000000003
28,STREME,-0.03700000000000003
29,DimontHTS,-0.051000000000000045
30,ExplaiNN,-0.03500000000000003
31,RCade,-0.04400000000000004
32,Best,-0.02400000000000002
33,Dimont,-0.04500000000000004
34,ChIPMunk,-0.07199999999999995
35,ProBound,-0.061999999999999944
36,MEME,-0.050000000000000044
37,Autoseed,-0.05800000000000005
38,Homer,-0.08799999999999997
39,STREME,-0.05700000000000005
40,DimontHTS,-0.04500000000000004
41,ExplaiNN,-0.09799999999999998
42,RCade,-0.20999999999999996
43,Best,-0.04500000000000004
44,Dimont,-0.07799999999999996
45,ChIPMunk,-0.09599999999999997
46,ProBound,-0.07999999999999996
47,MEME,-0.10799999999999998
48,Autoseed,-0.10699999999999998
49,Homer,-0.14900000000000002
50,STREME,-0.122
51,DimontHTS,-0.07799999999999996
52,ExplaiNN,-0.14100000000000001
53,RCade,-0.647
54,Best,-0.014000000000000012
55,Dimont,-0.07399999999999995
56,ChIPMunk,-0.08999999999999997
57,ProBound,-0.08799999999999997
58,MEME,-0.10799999999999998
